Timestamp,Question 1,Question 2,Question 3,Question 4,Question 5,Question 6,Question 7
2/1/2017 13:59:16,Option B,Option B,Option B,Option A,Option B,Option A,Option B
2/1/2017 14:11:12,Option B,Option B,Option B,Option A,Option A,Option A,Option B
2/1/2017 14:12:29,Option B,Option B,Option B,Option B,Option A,Option A,Option A
2/1/2017 14:45:48,Option B,Option B,Option B,Option B,Option A,Option A,Option A
2/1/2017 15:32:15,Option B,Option B,Option B,Option B,Option A,Option A,Option B
2/1/2017 15:47:13,Option B,Option B,Option B,Option A,Option A,Option A,Option A
2/1/2017 16:09:39,Option B,Option A,Option B,Option B,Option A,Option A,Option A
2/1/2017 16:13:28,Option B,Option B,Option B,Option B,Option B,Option A,Option B
2/1/2017 16:36:14,Option B,Option B,Option B,Option B,Option A,Option A,Option A
2/1/2017 17:22:22,Option B,Option B,Option B,Option B,Option A,Option A,Option B
2/2/2017 12:35:15,Option B,Option B,Option B,Option B,Option A,Option A,Option B
2/2/2017 12:44:02,Option B,Option A,Option B,Option B,Option A,Option A,Option A
2/2/2017 19:01:49,Option B,Option B,Option B,Option B,Option B,Option B,Option B
2/6/2017 10:58:02,Option B,Option B,Option B,Option B,Option A,Option A,Option B
2/6/2017 11:20:10,Option B,Option A,Option B,Option B,Option B,Option A,Option A
2/6/2017 11:26:53,Option B,Option B,Option B,Option B,Option A,Option A,Option A
2/6/2017 11:38:39,Option B,Option B,Option B,Option A,Option A,Option A,Option B
2/6/2017 11:45:03,Option B,Option B,Option B,Option B,Option A,Option A,Option B
2/6/2017 11:47:29,Option B,Option B,Option B,Option B,Option A,Option A,Option A
2/6/2017 11:48:34,Option B,Option A,Option B,Option B,Option A,Option A,Option B
2/6/2017 11:48:53,Option B,Option B,Option B,Option B,Option A,Option A,Option B
2/6/2017 12:04:34,Option B,Option A,Option B,Option B,Option A,Option A,Option B
2/6/2017 12:13:42,Option B,Option A,Option B,Option A,Option B,Option A,Option B
2/6/2017 12:22:02,Option B,Option A,Option B,Option B,Option A,Option A,Option B
2/6/2017 12:30:38,Option B,Option A,Option B,Option B,Option A,Option A,Option B
2/6/2017 12:32:32,Option B,Option B,Option B,Option A,Option A,Option A,Option A
2/6/2017 12:37:29,Option B,Option B,Option B,Option B,Option B,Option A,Option A
2/6/2017 12:47:47,Option B,Option A,Option B,Option A,Option A,Option A,Option A
2/6/2017 12:48:41,Option B,Option B,Option B,Option B,Option A,Option A,Option B
2/6/2017 12:50:23,Option B,Option B,Option B,Option A,Option B,Option A,Option A
2/6/2017 12:55:25,Option B,Option B,Option B,Option B,Option A,Option A,Option B
2/6/2017 12:59:11,Option B,Option B,Option B,Option B,Option A,Option A,Option B
2/6/2017 13:08:47,Option B,Option B,Option B,Option A,Option A,Option B,Option A
2/6/2017 13:10:58,Option B,Option B,Option B,Option A,Option A,Option A,Option A
2/6/2017 13:11:51,Option B,Option B,Option B,Option B,Option A,Option A,Option A
2/6/2017 13:19:23,Option B,Option B,Option B,Option B,Option A,Option A,Option B
2/6/2017 13:21:36,Option A,Option A,Option B,Option B,Option A,Option A,Option B
2/6/2017 13:22:09,Option B,Option B,Option B,Option B,Option B,Option A,Option B
2/6/2017 13:22:15,Option B,Option A,Option B,Option B,Option A,Option A,Option A
2/6/2017 13:22:51,Option B,Option A,Option B,Option B,Option A,Option A,Option B
2/6/2017 13:26:15,Option B,Option B,Option B,Option A,Option A,Option A,Option B
2/6/2017 13:26:34,Option B,Option B,Option B,Option B,Option A,Option A,Option A
2/6/2017 13:30:09,Option B,Option B,Option B,Option B,Option A,Option B,Option A
2/6/2017 13:31:54,Option B,Option B,Option B,Option B,Option B,Option B,Option B
2/6/2017 13:34:43,Option B,Option B,Option B,Option B,Option A,Option A,Option B
2/6/2017 13:35:16,Option A,Option A,Option B,Option B,Option A,Option A,Option B
2/6/2017 13:35:42,Option B,Option B,Option B,Option A,Option A,Option A,Option A
2/6/2017 13:45:04,Option B,Option B,Option B,Option A,Option A,Option A,Option A
2/6/2017 13:49:31,Option B,Option B,Option B,Option B,Option A,Option A,Option B
2/6/2017 13:52:01,Option B,Option A,Option B,Option B,Option A,Option A,Option A
2/6/2017 13:55:08,Option B,Option B,Option B,Option B,Option B,Option B,Option B
2/6/2017 13:55:48,Option B,Option A,Option B,Option A,Option A,Option A,Option B
2/6/2017 13:57:10,Option B,Option B,Option B,Option B,Option A,Option B,Option A
2/6/2017 14:07:10,Option B,Option A,Option B,Option B,Option A,Option A,Option B
2/6/2017 14:07:56,Option B,Option B,Option B,Option B,Option B,Option A,Option B
2/6/2017 14:11:07,Option B,Option A,Option B,Option A,Option A,Option A,Option A
2/6/2017 14:16:14,Option B,Option A,Option B,Option B,Option B,Option A,Option B
2/6/2017 14:19:23,Option B,Option A,Option B,Option B,Option B,Option A,Option B
2/6/2017 14:28:38,Option B,Option B,Option B,Option B,Option A,Option A,Option A
2/6/2017 14:32:20,Option B,Option B,Option B,Option B,Option A,Option A,Option B
2/6/2017 14:32:23,Option A,Option B,Option A,Option A,Option A,Option A,Option B
2/6/2017 14:33:42,Option B,Option B,Option B,Option A,Option A,Option A,Option A
2/6/2017 14:36:39,Option B,Option B,Option B,Option B,Option A,Option A,Option A
2/6/2017 14:39:26,Option A,Option A,Option A,Option A,Option A,Option A,Option A
2/6/2017 14:43:29,Option B,Option A,Option B,Option B,Option B,Option A,Option B
2/6/2017 14:45:09,Option B,Option B,Option B,Option B,Option B,Option B,Option B
2/6/2017 14:51:00,Option B,Option B,Option B,Option A,Option B,Option A,Option A
2/6/2017 14:51:34,Option B,Option B,Option B,Option B,Option A,Option A,Option A
2/6/2017 14:54:16,Option B,Option B,Option B,Option B,Option A,Option B,Option B
2/6/2017 14:59:54,Option B,Option B,Option B,Option B,Option B,Option B,Option B
2/6/2017 14:59:58,Option B,Option B,Option B,Option B,Option A,Option A,Option A
2/6/2017 15:00:40,Option B,Option B,Option B,Option B,Option B,Option A,Option B
2/6/2017 15:06:23,Option B,Option B,Option B,Option B,Option A,Option A,Option B
2/6/2017 15:12:35,Option B,Option B,Option B,Option A,Option A,Option A,Option A
2/6/2017 15:14:23,Option B,Option A,Option B,Option B,Option A,Option A,Option B
2/6/2017 15:16:39,Option B,Option B,Option B,Option B,Option A,Option A,Option B
2/6/2017 15:17:28,Option B,Option B,Option B,Option A,Option A,Option B,Option A
2/6/2017 15:21:32,Option B,Option A,Option B,Option B,Option A,Option A,Option B
2/6/2017 15:21:35,Option B,Option B,Option B,Option B,Option A,Option A,Option B
2/6/2017 15:24:14,Option B,Option B,Option B,Option B,Option B,Option B,Option A
2/6/2017 15:27:53,Option B,Option A,Option B,Option B,Option B,Option B,Option B
2/6/2017 15:32:00,Option B,Option B,Option B,Option B,Option A,Option A,Option B
2/6/2017 15:32:24,Option B,Option A,Option B,Option B,Option A,Option A,Option B
2/6/2017 15:33:18,Option B,Option A,Option B,Option B,Option A,Option A,Option B
2/6/2017 15:38:12,Option B,Option A,Option B,Option B,Option A,Option A,Option B
2/6/2017 15:45:41,Option A,Option A,Option A,Option A,Option A,Option B,Option B
2/6/2017 15:45:52,Option A,Option A,Option A,Option A,Option B,Option A,Option B
2/6/2017 15:46:31,Option B,Option B,Option B,Option B,Option A,Option A,Option B
2/6/2017 15:50:35,Option B,Option A,Option B,Option B,Option A,Option A,Option B
2/6/2017 15:55:06,Option B,Option B,Option B,Option B,Option A,Option A,Option B
2/6/2017 15:57:32,Option B,Option A,Option B,Option A,Option B,Option A,Option B
2/6/2017 16:08:47,Option B,Option A,Option B,Option B,Option B,Option A,Option B
2/6/2017 16:09:22,Option B,Option B,Option B,Option A,Option A,Option A,Option A
2/6/2017 16:18:48,Option B,Option B,Option B,Option A,Option B,Option A,Option B
2/6/2017 16:20:23,Option B,Option B,Option B,Option B,Option B,Option A,Option A
2/6/2017 16:26:05,Option B,Option B,Option B,Option A,Option B,Option B,Option A
2/6/2017 16:30:06,Option B,Option B,Option B,Option B,Option A,Option A,Option B
2/6/2017 16:32:11,Option B,Option B,Option B,Option A,Option B,Option A,Option B
2/6/2017 16:32:37,Option B,Option B,Option B,Option B,Option A,Option A,Option A
2/6/2017 16:40:31,Option B,Option B,Option B,Option B,Option A,Option A,Option B
2/6/2017 16:45:01,Option B,Option B,Option B,Option A,Option A,Option A,Option A
2/6/2017 16:46:21,Option B,Option A,Option B,Option B,Option B,Option B,Option B
2/6/2017 16:58:06,Option B,Option B,Option B,Option A,Option B,Option A,Option A
2/6/2017 16:58:12,Option B,Option A,Option B,Option B,Option B,Option A,Option B
2/6/2017 16:59:34,Option B,Option A,Option B,Option A,Option B,Option A,Option B
2/6/2017 17:01:44,Option B,Option A,Option B,Option B,Option A,Option A,Option B
2/6/2017 17:01:47,Option B,Option B,Option B,Option B,Option A,Option A,Option B
2/6/2017 17:05:23,Option B,Option A,Option B,Option B,Option A,Option A,Option A
2/6/2017 17:07:05,Option B,Option A,Option B,Option B,Option A,Option A,Option A
2/6/2017 17:15:10,Option B,Option A,Option B,Option B,Option A,Option A,Option B
2/6/2017 17:20:38,Option B,Option B,Option B,Option B,Option A,Option A,Option A
2/6/2017 17:21:03,Option B,Option A,Option B,Option B,Option A,Option A,Option A
2/6/2017 17:23:22,Option B,Option A,Option B,Option B,Option B,Option B,Option B
2/6/2017 17:23:33,Option B,Option B,Option B,Option B,Option A,Option A,Option B
2/6/2017 17:23:37,Option B,Option B,Option B,Option B,Option A,Option A,Option B
2/6/2017 17:25:00,Option B,Option B,Option B,Option B,Option A,Option A,Option A
2/6/2017 17:25:29,Option B,Option B,Option B,Option B,Option A,Option B,Option B
2/6/2017 17:27:55,Option B,Option B,Option B,Option B,Option A,Option B,Option B
2/6/2017 17:28:19,Option B,Option B,Option B,Option B,Option A,Option A,Option A
2/6/2017 17:32:20,Option B,Option B,Option B,Option B,Option B,Option A,Option A
2/6/2017 17:33:08,Option B,Option B,Option B,Option B,Option B,Option A,Option B
2/6/2017 17:33:22,Option B,Option A,Option B,Option A,Option A,Option B,Option A
2/6/2017 17:40:23,Option B,Option A,Option B,Option A,Option A,Option B,Option A
2/6/2017 17:42:24,Option B,Option B,Option B,Option B,Option A,Option A,Option B
2/6/2017 17:46:41,Option B,Option B,Option B,Option A,Option A,Option B,Option B
2/6/2017 17:46:48,Option B,Option A,Option B,Option B,Option B,Option A,Option B
2/6/2017 17:51:37,Option B,Option B,Option B,Option A,Option A,Option B,Option B
2/6/2017 17:53:45,Option A,Option A,Option B,Option B,Option A,Option A,Option A
2/6/2017 17:57:24,Option B,Option B,Option B,Option A,Option A,Option A,Option B
2/6/2017 18:00:19,Option B,Option B,Option B,Option A,Option A,Option A,Option A
2/6/2017 18:03:55,Option B,Option B,Option A,Option A,Option A,Option A,Option B
2/6/2017 18:07:17,Option B,Option B,Option B,Option B,Option A,Option A,Option B
2/6/2017 18:07:54,Option B,Option B,Option B,Option B,Option A,Option A,Option B
2/6/2017 18:09:41,Option A,Option B,Option B,Option B,Option A,Option A,Option B
2/6/2017 18:14:26,Option B,Option A,Option B,Option B,Option A,Option A,Option B
2/6/2017 18:14:55,Option B,Option B,Option B,Option B,Option B,Option A,Option B
2/6/2017 18:17:27,Option B,Option A,Option B,Option B,Option B,Option A,Option B
2/6/2017 18:19:27,Option B,Option B,Option B,Option B,Option A,Option A,Option B
2/6/2017 18:26:59,Option B,Option A,Option B,Option B,Option A,Option A,Option B
2/6/2017 18:31:22,Option B,Option B,Option B,Option B,Option A,Option A,Option A
2/6/2017 18:34:01,Option B,Option B,Option B,Option B,Option A,Option A,Option B
2/6/2017 18:37:45,Option B,Option B,Option B,Option B,Option A,Option A,Option B
2/6/2017 18:40:50,Option B,Option B,Option B,Option A,Option A,Option A,Option A
2/6/2017 18:42:10,Option B,Option A,Option B,Option A,Option A,Option A,Option A
2/6/2017 18:42:57,Option B,Option B,Option B,Option B,Option B,Option A,Option B
2/6/2017 18:43:16,Option B,Option A,Option B,Option B,Option A,Option A,Option A
2/6/2017 18:46:36,Option B,Option B,Option B,Option B,Option A,Option A,Option B
2/6/2017 18:46:41,Option B,Option A,Option B,Option B,Option A,Option A,Option B
2/6/2017 18:53:32,Option B,Option A,Option B,Option B,Option B,Option A,Option B
2/6/2017 18:53:39,Option B,Option B,Option B,Option B,Option A,Option A,Option A
2/6/2017 18:54:14,Option B,Option A,Option B,Option B,Option A,Option A,Option B
2/6/2017 18:56:34,Option B,Option A,Option B,Option B,Option A,Option B,Option B
2/6/2017 18:57:59,Option B,Option B,Option B,Option A,Option A,Option A,Option B
2/6/2017 18:59:31,Option B,Option B,Option B,Option B,Option B,Option A,Option A
2/6/2017 19:03:32,Option B,Option B,Option B,Option B,Option B,Option A,Option B
2/6/2017 19:04:44,Option B,Option A,Option B,Option A,Option A,Option A,Option A
2/6/2017 19:05:57,Option B,Option B,Option B,Option A,Option A,Option A,Option B
2/6/2017 19:06:29,Option B,Option A,Option B,Option B,Option A,Option A,Option B
2/6/2017 19:17:58,Option B,Option B,Option B,Option B,Option A,Option A,Option B
2/6/2017 19:20:47,Option B,Option B,Option B,Option B,Option A,Option A,Option B
2/6/2017 19:23:08,Option B,Option A,Option B,Option B,Option A,Option A,Option A
2/6/2017 19:24:24,Option B,Option B,Option B,Option A,Option A,Option A,Option B
2/6/2017 19:25:52,Option B,Option B,Option B,Option B,Option A,Option A,Option B
2/6/2017 19:29:26,Option B,Option B,Option B,Option B,Option B,Option A,Option A
2/6/2017 19:29:40,Option B,Option B,Option B,Option B,Option A,Option A,Option B
2/6/2017 19:31:17,Option B,Option B,Option B,Option B,Option B,Option A,Option A
2/6/2017 19:34:57,Option B,Option A,Option B,Option B,Option A,Option A,Option B
2/6/2017 19:37:35,Option B,Option A,Option B,Option B,Option A,Option A,Option B
2/6/2017 19:39:59,Option A,Option A,Option B,Option A,Option A,Option B,Option A
2/6/2017 19:46:29,Option B,Option B,Option B,Option A,Option A,Option A,Option A
2/6/2017 19:49:31,Option B,Option B,Option B,Option B,Option A,Option A,Option B
2/6/2017 19:55:11,Option B,Option A,Option B,Option B,Option A,Option A,Option B
2/6/2017 19:55:16,Option A,Option A,Option B,Option A,Option A,Option A,Option B
2/6/2017 19:55:33,Option B,Option B,Option B,Option A,Option A,Option A,Option A
2/6/2017 19:56:12,Option B,Option B,Option B,Option A,Option B,Option A,Option A
2/6/2017 19:57:08,Option B,Option B,Option B,Option B,Option A,Option A,Option B
2/6/2017 19:57:37,Option B,Option B,Option B,Option B,Option B,Option A,Option B
2/6/2017 19:57:54,Option B,Option B,Option B,Option B,Option A,Option A,Option B
2/6/2017 19:59:47,Option B,Option B,Option B,Option B,Option A,Option A,Option A
2/6/2017 20:02:23,Option B,Option B,Option B,Option B,Option A,Option A,Option A
2/6/2017 20:02:52,Option B,Option B,Option B,Option B,Option A,Option A,Option A
2/6/2017 20:03:48,Option B,Option B,Option B,Option A,Option A,Option A,Option A
2/6/2017 20:10:15,Option B,Option B,Option B,Option A,Option A,Option A,Option A
2/6/2017 20:11:43,Option B,Option B,Option B,Option B,Option A,Option A,Option B
