0 qid:1 1:0.0151435 2:0.749493 3:0.68472 4:0.4674 5:0.3752 6:3.14441 7:7.86737 8:10.1159 9:12.9337 10:-24.6108 11:-16.9345 12:-24.6071
9 qid:1 1:0.0161289 2:0.768225 3:0.645246 4:0.3967 5:0.3963 6:3.15669 7:7.85346 8:10.5605 9:12.2997 10:-24.3615 11:-16.2555 12:-23.7419
13 qid:1 1:0.0173003 2:0.678408 3:0.475469 4:0.4775 5:0.4747 6:3.17854 7:8.54484 8:13.5684 9:14.1291 10:-28.1579 11:-18.6113 12:-28.1024
23 qid:1 1:0.0329316 2:0.679598 3:0.227264 4:0.4407 5:0.4225 6:3.17481 7:8.50636 8:11.1937 9:12.364 10:-24.1753 11:-16.8863 12:-24.5714
34 qid:1 1:0.0268114 2:0.46722 3:0.232401 4:0.4661 5:0.4635 6:3.18634 7:9.83263 8:12.8178 9:13.4492 10:-27.4217 11:-19.8763 12:-26.5874
45 qid:1 1:0.0384642 2:0.215189 3:0.216762 4:0.4568 5:0.4416 6:3.18308 7:8.51621 8:11.8054 9:12.9188 10:-25.3314 11:-18.1359 12:-25.6218
0 qid:2 1:0.0198497 2:0.748916 3:0.690909 4:0.4755 5:0.3761 6:3.14488 7:7.8981 8:10.1422 9:12.9654 10:-24.6333 11:-16.9606 12:-24.7136
8 qid:2 1:0.0198497 2:0.708953 3:0.605604 4:0.4364 5:0.4204 6:3.15963 7:7.8829 8:10.7924 9:12.6551 10:-24.7769 11:-16.6201 12:-24.4168
12 qid:2 1:0.0238914 2:0.67888 3:0.474027 4:0.4716 5:0.4704 6:3.1765 7:8.61427 8:12.1879 9:13.4719 10:-27.8755 11:-17.9166 12:-26.3019
19 qid:2 1:0.0204966 2:0.668398 3:0.218572 4:0.4497 5:0.4387 6:3.18371 7:8.57839 8:11.3063 9:13.0673 10:-25.2557 11:-17.3566 12:-26.3325
27 qid:2 1:0.0226895 2:0.428394 3:0.246763 4:0.4649 5:0.4637 6:3.18772 7:8.96302 8:11.8607 9:13.7532 10:-26.5607 11:-18.2795 12:-27.8295
32 qid:2 1:0.0323598 2:0.264684 3:0.249822 4:0.4521 5:0.4313 6:3.1839 7:8.19094 8:11.2841 9:16.4296 10:-30.3294 11:-20.9283 12:-30.6594
0 qid:3 1:0.0183039 2:0.756149 3:0.685266 4:0.4756 5:0.373 6:3.1439 7:7.88933 8:10.0985 9:12.8741 10:-24.378 11:-16.8285 12:-24.9155
9 qid:3 1:0.0182019 2:0.746992 3:0.604033 4:0.4102 5:0.3958 6:3.16129 7:8.03044 8:10.537 9:12.5304 10:-24.2108 11:-16.6339 12:-24.2184
15 qid:3 1:0.0215317 2:0.681297 3:0.460945 4:0.4788 5:0.4702 6:3.17752 7:8.96532 8:13.9338 9:15.1707 10:-29.8519 11:-19.7368 12:-29.8973
22 qid:3 1:0.0302236 2:0.640241 3:0.197998 4:0.4676 5:0.4228 6:3.17929 7:8.43721 8:11.2549 9:12.4028 10:-24.2453 11:-16.7852 12:-24.8374
28 qid:3 1:0.0295103 2:0.43004 3:0.214944 4:0.4637 5:0.4633 6:3.19026 7:9.53482 8:12.0196 9:13.1847 10:-25.9632 11:-18.8305 12:-25.9144
35 qid:3 1:0.0606965 2:0.237337 3:0.210634 4:0.4436 5:0.434 6:3.19165 7:8.70083 8:11.3724 9:13.4897 10:-26.7489 11:-17.8403 12:-25.9256
0 qid:4 1:0.0191509 2:0.750792 3:0.683504 4:0.4703 5:0.3765 6:3.14671 7:7.9544 8:10.1412 9:12.9532 10:-24.6572 11:-16.9915 12:-24.6447
9 qid:4 1:0.0213608 2:0.758599 3:0.662117 4:0.4005 5:0.4001 6:3.15662 7:7.82602 8:10.6807 9:12.2656 10:-24.4898 11:-16.1828 12:-23.7457
15 qid:4 1:0.0225804 2:0.687895 3:0.46622 4:0.4812 5:0.4616 6:3.17818 7:8.69062 8:11.7849 9:13.759 10:-27.8268 11:-18.1757 12:-26.5315
24 qid:4 1:0.0221938 2:0.435935 3:0.32876 4:0.4792 5:0.4604 6:3.18194 7:9.98711 8:11.8316 9:14.0938 10:-27.2764 11:-19.1126 12:-27.1546
40 qid:4 1:0.0339847 2:0.325213 3:0.268479 4:0.4768 5:0.4724 6:3.18719 7:8.9252 8:11.9587 9:13.9288 10:-26.9631 11:-18.4103 12:-27.1062
55 qid:4 1:0.0640597 2:0.220349 3:0.22587 4:0.4391 5:0.4341 6:3.17188 7:8.11877 8:12.2811 9:13.0635 10:-25.9974 11:-17.1432 12:-25.8132
