1 qid:1 1:0.74377 2:0.645632 3:0.0151435 4:-0.219009 5:0.139544 6:1.40418 7:0.434393 8:-0.237351 9:0.779178 10:0.2181 11:0.2215
2 qid:1 1:0.818849 2:0.694235 3:0.0161289 4:0.176672 5:0.198342 6:1.52912 7:-0.0492968 8:-0.280749 9:0.697258 10:0.1878 11:0.2206
3 qid:1 1:0.247075 2:0.670187 3:0.0398578 4:0.294809 5:-0.218296 6:0.818372 7:0.063906 8:0.146806 9:1.3787 10:0.1557 11:0.1763
4 qid:1 1:0.618291 2:0.660712 3:0.0329316 4:0.295076 5:0.135037 6:1.38032 7:0.0763813 8:-0.20897 9:0.812884 10:0.212 11:0.2488
5 qid:1 1:0.641188 2:0.660971 3:0.0298294 4:0.296874 5:-0.214239 6:0.815042 7:0.0722063 8:0.133556 9:1.37888 10:0.169 11:0.2021
6 qid:1 1:0.22563 2:0.584372 3:0.0545788 4:0.292041 5:0.131241 6:1.31876 7:0.0763649 8:-0.232319 9:0.823715 10:0.2188 11:0.2307
7 qid:1 1:0.253624 2:0.232461 3:0.0365793 4:0.0804241 5:-0.0559245 6:1.00992 7:0.286368 8:-0.22636 9:0.798947 10:0.1212 11:0.173
1 qid:2 1:0.741268 2:0.651959 3:0.0202038 4:-0.141109 5:0.147111 6:1.42023 7:0.415658 8:-0.263983 9:0.734621 10:0.2109 11:0.2162
2 qid:2 1:0.803902 2:0.682954 3:0.0245128 4:0.25577 5:-0.25974 6:0.738807 7:-0.111798 8:0.169122 9:1.4798 10:0.27 11:0.2376
3 qid:2 1:0.458241 2:0.681806 3:0.0252264 4:0.307378 5:0.122141 6:1.38266 7:-0.137297 8:-0.223034 9:0.810533 10:0.2226 11:0.2262
4 qid:2 1:0.236288 2:0.673072 3:0.0279017 4:0.299414 5:-0.215678 6:0.815263 7:0.0681755 8:0.120152 9:1.40227 10:0.2095 11:0.2232
5 qid:2 1:0.233157 2:0.633048 3:0.0294523 4:0.295732 5:0.114509 6:1.36279 7:0.0639403 8:-0.214585 9:0.818541 10:0.1952 11:0.23
6 qid:2 1:0.653855 2:0.662387 3:0.0277166 4:0.295594 5:-0.215756 6:0.816094 7:0.0694206 8:0.117172 9:1.39096 10:0.2289 11:0.2457
7 qid:2 1:0.293302 2:0.420017 3:0.0300457 4:0.285232 5:0.017226 6:1.16656 7:0.0605035 8:-0.216791 9:0.821002 10:0.2099 11:0.227
1 qid:3 1:0.752342 2:0.6597 3:0.0119255 4:-0.116452 5:0.160182 6:1.44843 7:0.392652 8:-0.273938 9:0.717964 10:0.1813 11:0.2201
2 qid:3 1:0.824021 2:0.729649 3:0.0167831 4:0.220297 5:0.192792 6:1.53001 7:-0.0601549 8:-0.282764 9:0.694334 10:0.1997 11:0.2349
3 qid:3 1:0.224947 2:0.669295 3:0.0254143 4:0.071791 5:-0.21745 6:0.827342 7:-0.150315 8:0.127038 9:1.40689 10:0.2159 11:0.2164
